"artifactId","numIncoming"
"org.slf4j:log4j-over-slf4j","69833"
"com.palantir.atlasdb:atlasdb","69791"
"io.grpc:grpc-protobuf","69743"
"dev.zio:zio-streams_3","69393"
"org.scala-js:scalajs-library_2.12","69009"
"org.wso2.carbon:org.wso2.carbon.ui","68892"
"org.gaul:modernizer-maven-annotations","68401"
"org.wso2.carbon:org.wso2.carbon.registry.core","68387"
"org.testcontainers:testcontainers","67798"
"io.grpc:grpc-api","67068"
"org.codehaus.groovy:groovy-all","66181"
"org.apereo.service.persondir:person-directory-impl","66022"
"org.apereo.inspektr:inspektr-audit","65996"
"org.apereo.inspektr:inspektr-support-spring","65960"
"org.wso2.carbon.identity.framework:org.wso2.carbon.identity.base","65154"
"org.springmodules:spring-modules-cache","64931"
"org.eclipse.jetty:jetty-servlet","64431"
"javax.xml.ws:jaxws-api","64281"
"org.osgi:org.osgi.compendium","62110"
"com.palantir.safe-logging:logger","61923"
"com.squareup.okhttp:okhttp","61873"
"jakarta.ws.rs:jakarta.ws.rs-api","61488"
"org.scala-lang.modules:scala-collection-compat_2.12","61370"
"org.wso2.carbon:org.wso2.carbon.user.core","61246"
"org.springframework.security:spring-security-crypto","61196"
"javax.enterprise:cdi-api","61187"
"com.typesafe:config","61139"
"org.springframework.retry:spring-retry","60649"
"org.eclipse.collections:eclipse-collections-api","60506"
"io.quarkus:quarkus-junit5-internal","60461"
"com.github.ben-manes.caffeine:guava","60268"
"org.glassfish.web:el-impl","60189"
"com.alibaba:fastjson","59030"
"org.springframework.boot:spring-boot-starter-data-jpa","58960"
"com.google.guava:failureaccess","58849"
"org.apereo.cas:cas-server-core-util-api","58747"
"com.google.j2objc:j2objc-annotations","58401"
"org.springframework.boot:spring-boot-starter-security","57914"
"org.springframework.security:spring-security-rsa","57741"
"org.jboss.arquillian.junit:arquillian-junit-container","57540"
"org.eclipse.collections:eclipse-collections","57318"
"androidx.core:core-ktx","56619"
"org.mapstruct:mapstruct-processor","56290"
"software.amazon.awscdk:core","56087"
"org.spockframework:spock-core","55962"
"org.hibernate:hibernate-entitymanager","55595"
"dev.zio:zio-mock_3","55581"
"dev.zio:zio-mock_2.13","55577"
"dev.zio:zio-mock_2.12","55577"
"com.google.guava:listenablefuture","55457"
"org.scalacheck:scalacheck_2.12","55287"
"org.wso2.orbit.org.owasp.encoder:encoder","54669"
"io.netty:netty-handler","54604"
"com.google.api:api-common","54515"
"org.scala-lang.modules:scala-collection-compat_2.13","54502"
"com.google.auto.value:auto-value-annotations","54430"
"com.novocode:junit-interface","54348"
"commons-lang.wso2:commons-lang","54323"
"org.springframework.security:spring-security-web","54184"
"ch.qos.logback:logback-access","54108"
"javax.persistence:javax.persistence-api","53948"
"dev.zio:zio-test_2.13","53882"
"org.apache.commons:commons-compress","53561"
"org.springframework.boot:spring-boot-properties-migrator","53101"
"org.apereo.cas:cas-server-core-configuration-api","52840"
"dev.zio:zio-test_2.12","52639"
"net.jcip:jcip-annotations","52500"
"org.apache.cxf:cxf-rt-rs-service-description-swagger","52492"
"org.scalatest:scalatest_3","52299"
"org.springframework.boot:spring-boot-autoconfigure-processor","52277"
"org.hibernate.validator:hibernate-validator","52164"
"org.slf4j:slf4j-jdk14","51976"
"org.wso2.carbon.apimgt:org.wso2.carbon.apimgt.api","51716"
"org.apache.commons:commons-jexl3","51712"
"org.ow2.asm:asm","51203"
"com.squareup.retrofit2:retrofit","51153"
"javax.xml.soap:javax.xml.soap-api","51149"
"com.palantir.safe-logging:safe-logging","50833"
"org.bouncycastle:bcpkix-jdk15on","50023"
"org.glassfish.main.javaee-api:javax.jws","49761"
"org.springframework.security:spring-security-cas","49511"
"org.codehaus.mojo:animal-sniffer-annotations","49366"
"com.squareup.okhttp:okhttp-urlconnection","49055"
"org.springframework.boot:spring-boot-starter-websocket","48966"
"com.thoughtworks.xstream:xstream","48926"
"org.glassfish.main.javaee-api:javax.jms","48900"
"com.fasterxml.jackson.dataformat:jackson-dataformat-properties","48668"
"io.vertx:vertx-core","48655"
"org.jetbrains.kotlinx:kotlinx-serialization-json-jvm","48394"
"org.jboss.logging:jboss-logging-annotations","48375"
"com.lmax:disruptor","48311"
"dev.zio:zio-test_3","47961"
"io.swagger.core.v3:swagger-annotations","47952"
"com.sun.istack:istack-commons-runtime","47946"
"org.osgi:osgi.cmpn","47893"
"org.antlr:antlr4-runtime","47720"
"org.apache.hadoop:hadoop-common","47420"
"org.jetbrains.kotlin:kotlin-test","47205"
"org.freemarker:freemarker","46805"
"org.noear:solon","46329"
"io.quarkus:quarkus-core-deployment","46327"
"org.junit.jupiter:junit-jupiter-migrationsupport","45856"
"org.codehaus.groovy:groovy-json","45805"
"org.typelevel:cats-core_2.13","45644"
"org.codehaus.plexus:plexus-utils","45564"
"org.json.wso2:json","45509"
"org.apache.httpcomponents:httpmime","45304"
"com.squareup.okhttp3:logging-interceptor","45270"
"jakarta.validation:jakarta.validation-api","45216"
"org.codehaus.groovy:groovy-jsr223","45077"
"io.quarkus:quarkus-junit5","44867"
"org.apereo.cas:cas-server-core-authentication-api","44855"
"org.apache.kafka:kafka-clients","44794"
"com.squareup.okhttp3:okhttp-urlconnection","44608"
"org.infinispan:infinispan-core","44563"
"org.springframework.security:spring-security-test","43382"
"com.google.android.material:material","43163"
"software.amazon.awscdk:aws-cdk-lib","42793"
"io.swagger:swagger-jaxrs","42648"
"commons-configuration:commons-configuration","42597"
"org.scalaz:scalaz-core_2.13","42553"
"org.codehaus.groovy:groovy-xml","42470"
"org.codehaus.groovy:groovy-groovysh","42226"
"io.quarkus:quarkus-core","42187"
"com.palantir.safe-logging:preconditions","42163"
"org.skyscreamer:jsonassert","41946"
"org.apache.logging.log4j:log4j-1.2-api","41366"
"org.apache.camel:camel-core","40883"
"org.scala-js:scalajs-test-bridge_2.12","40878"
"io.netty:netty-transport","40873"
"androidx.annotation:annotation","40282"
"xmlunit:xmlunit","40218"
"org.typelevel:cats-core_2.12","40138"
"io.gravitee.common:gravitee-common","40125"
"org.apache.avro:avro","39703"
"io.projectreactor:reactor-core","39598"
"org.jsoup:jsoup","39549"
"org.codehaus.groovy:groovy-datetime","39472"
"org.eclipse.jetty:jetty-util","39447"
"com.google.gwt:gwt-user","39364"
"com.yahoo.vespa:vespajlib","39360"
"org.codehaus.jackson:jackson-mapper-asl","39075"
"io.netty:netty-buffer","39028"
"org.eclipse.dirigible:dirigible-commons-config","38929"
"org.wso2.carbon.identity.framework:org.wso2.carbon.identity.application.common","38893"
"com.daml:daml-lf-data_2.13","38795"
"nl.jqno.equalsverifier:equalsverifier","38535"
"com.fasterxml.jackson.module:jackson-module-kotlin","38469"
"org.jetbrains.kotlinx:kotlinx-coroutines-android","38373"
"io.netty:netty-common","38356"
"org.eclipse.jetty:jetty-webapp","38149"
"io.micrometer:micrometer-core","37964"
"org.scala-lang:scala3-library_sjs1_3","37924"
"org.wso2.eclipse.osgi:org.eclipse.osgi.services","37736"
"org.scalacheck:scalacheck_2.13","37721"
"org.opendaylight.odlparent:features-test","37620"
"io.grpc:grpc-protobuf-lite","37575"
"io.quarkus:quarkus-arc","37454"
"cglib:cglib-nodep","37450"
"org.easytesting:fest-assert","37400"
"io.quarkus:quarkus-arc-deployment","37333"
"org.apache.maven:maven-artifact","37330"
"commons-fileupload:commons-fileupload","37263"
"org.apache.karaf.bundle:org.apache.karaf.bundle.core","37230"
"org.scalacheck:scalacheck_2.11","36995"
"org.springframework.cloud:spring-cloud-starter-bootstrap","36890"
"org.apache.commons:commons-math3","36458"
"org.finos.legend.pure:legend-pure-m3-core","36431"
"org.opendaylight.odlparent:bundles-test-lib","36206"
"io.netty:netty-all","36171"
